NamesUnique (publd edtn)	CountNames
T. Stokes	1
T. Thorn	6
T. Wilson	1
Taf Benit	1
Theod Lippincott	1
Theodocea Lippincott	1
Theodocia Lippincott	1
Theodocia Vinicomb	4
Thesdace Lippincott	1
Thomas Archer	1
Thomas Balangeee	1
Thomas Balangeer	1
Thomas Ballinger	6
Thomas Bevan	1
Thomas Bilange	1
Thomas Bilanger	1
Thomas Bilanges	1
Thomas Bishop	5
Thomas Bispham	1
Thomas Branagan	1
Thomas Briggs	1
Thomas Bromley	2
Thomas Brooks	2
Thomas Bulard	1
Thomas Burrough	2
Thomas Buzby	3
Thomas Carlton	2
Thomas Cartlon	1
Thomas Chalkey	1
Thomas Chalkley	7
Thomas Clarkson	4
Thomas Coles	1
Thomas Colley	4
Thomas Comstock	2
Thomas Cowperthwaite	3
Thomas Cox	3
Thomas Cross	1
Thomas Davis	3
Thomas Dudley	9
Thomas Enoch	2
Thomas Evan	1
Thomas Evans	42
Thomas Evans Jr	1
Thomas Eves	1
Thomas Finch	1
Thomas Follit	2
Thomas Folwel	1
Thomas Folwels	1
Thomas French	2
Thomas Frinch	1
Thomas Gaskill	2
Thomas Gathrop	2
Thomas Gawthrop	3
Thomas Gill	3
Thomas Gills	2
Thomas Glover	1
Thomas Goodwin	1
Thomas Grissel	1
Thomas Hackney	3
Thomas Haines	1
Thomas Harrison	3
Thomas Hartley	3
Thomas Hartly	1
Thomas Haston	1
Thomas Hawkshurst	2
Thomas Hollingsead	1
Thomas Hollinshead	12
Thomas Homes	3
Thomas Hooton	10
Thomas Hooton Sr	1
Thomas Hough	1
Thomas Johnson	1
Thomas Joice	1
Thomas Kite	4
Thomas Lawrey	3
Thomas Lightfoot	2
Thomas Lippincott	37
Thomas Lowrey	5
Thomas Marshall	1
Thomas Mathews	2
Thomas Matthews	2
Thomas Middleton	9
Thomas Morris	1
Thomas Nickers	1
Thomas Parry	2
Thomas Porter	5
Thomas Potter	1
Thomas Rakestraw	1
Thomas Redman	11
Thomas Ridgeway	2
Thomas Rogers	4
Thomas Ross	41
Thomas Rudrow	4
Thomas Saint	7
Thomas Sattergood	1
Thomas Say	7
Thomas Scattergood	52
Thomas Sharp	2
Thomas Shillitoe	3
Thomas Shoemaker	2
Thomas Smith	4
Thomas Stiles	2
Thomas Stokes	11
Thomas Stokes Sr	1
Thomas Story	7
Thomas Thoms	1
Thomas Thorn	25
Thomas Thornberry	1
Thomas Thron	1
Thomas Thronburg	1
Thomas Throrn	1
Thomas Titus	2
Thomas Vicker	1
Thomas Vickers	22
Thomas Vickes	1
Thomas Wagstaff	1
Thomas Wagstaffe	5
Thomas Wallace	1
Thomas Warrington	4
Thomas Wetherill	1
Thomas White	1
Thomas Wight	1
Thomas Wilkins	11
Thomas Wilks Jr	1
Thomas Williams	1
Thomas Willis	1
Thomas Wilson	2
Thomas Woodward	3
Thomas Wormsley	2
Thomas] Branagan	1
Thomas] Bromley	3
Thomas] Chalkley	3
Thomas] Clarkson	3
Thoms Stiless	1
Tibbila Duril	1
Tideman Hull	1
Tilton Bunting	1
Timothy Davis	2
Tom Middleton	2
Tom Midelct	1
Tomme Lowney	1
Townsend Hawksworth	2
Uncle Peter Harvey	2
Uncle William	1
Uriah Moor	2
Uriah Norcross	1
Uriah Reeve	1
V. Frinch	1
V. Leeds	1
Vincent Leads	3
Vincent Leed	1
Vincent Leeds	9
W. Black	1
W. Case	1
W. Hunt	1
W. Ivins	1
W. Matlack	1
W. Matthews	1
W. Panes	2
W. Penn	1
W. Rogers	1
W. Vinicomb	2
W. Warrington	1
W[illiam] A[lexander]	1
Wallace Lippincott	1
Walter Raleigh	1
Walter Rawlie	1
Warder Cresson	2
Warner Mifflin	11
Wil[lia]m Braning	1
William Abit	1
William Alexander	2
William Allen	2
William Allinson	1
William Ashby	11
William Austin	1
William Bailey	1
William Bates	6
William Bayley	1
William Belus	1
William Bidgood	1
William Bishop	2
William Black	5
William Blake	9
William Blakey	9
William Blakeys	1
William Borton	2
William Bradaway	1
William Branin	2
William Brown	10
William Burr	3
William Burros	1
William Burrough	2
William Burroughs	1
William Buzby	2
William Calvert	5
William Canby	1
William Caton	1
William Cave	3
William Clement	1
William Clements	2
William Coat	2
William Cooper	7
William Copper	1
William Cowper	1
William Cowperthwaite	7
William Cowperthwaites	1
William Cox	5
William Crispin	1
William Davidson	1
William Davison	2
William Dell	4
William Dewberry	1
William Dewsberry	1
William Dewsbury	1
William Dickson	1
William Dikson	1
William Dixon	2
William Downs	3
William Dunlap	1
William Edgerton	3
William Edmondson	3
William Edmundson	5
William Eldrige	2
William Eldring	1
William Evans	14
William Fisher	1
William Flanner	2
William Forster	3
William Forster Jr	1
William Foster	21
William Foster Jr	1
William Garwood	1
William Glover	1
William Glovyer	1
William Goodwin	1
William Goodwind	1
William Hackney	1
William Hackneys	2
William Haighn	1
William Haines	7
William Hartshorn	4
William Higbee	3
William Hinchman	1
William Hollinshead	6
William Hooten	1
William Hooton	3
William Hopkins	1
William Horn	2
William Hulings	1
William Hunt	53
William Ivins	1
William Jackson	13
William Jones	29
William Kaighn	4
William Kain	2
William Keys	1
William Lambert	1
William Lamburn	1
William Law	16
William Lippincott	2
William Lucas	2
William Mat	1
William Mathers	1
William Matlack	36
William Matlack Sr	1
William Matthews	3
William Miccles	1
William Mickel	2
William Morton	2
William Murfee	1
William Murse	3
William Nesbit	1
William Newbold	1
William Night	1
William Penn	93
William Pine	2
William Pines	1
William Richardson	1
William Rickman	2
William Ridgway	1
William Robert	1
William Roberts	16
William Roberts Jr	1
William Roberts Junior	1
William Rog[ers]	1
William Roger	6
William Rogers	150
William Rogers Junr	1
William Rossel	1
William Rowlands	1
William Rudrow	10
William Saterthite	1
William Satterthite	1
William Savery	37
William Scatterthite	3
William Sewel	1
William Shaterthite Jr	1
William Shatterthite	1
William Shatterthwaite	1
William Shewen	2
William Shewin	1
William Shute	1
William Shutes	2
William Siniamly	1
William Skatterthwaite	1
William Sleeper	3
William Smith	3
William Snowden	6
William Snowdon	5
William Stagdon	3
William Stevenson	1
William Steward	1
William Stockton	3
William Stogdon	5
William Stokton	1
William Tailor	1
William Tallman	3
William Thorn	1
William Tiston	1
William Troks	1
William Troth	2
William Venable	1
William Veneble	1
William Venible	1
William Vincomb	1
William Vinicomb	9
William Walton	3
William Warrington	1
William Whitin	2
William Whits	1
William Whitter	1
William Wilkin	1
William Wilkins	5
William Williams	1
William Williamson	1
William Witin	1
William Wood	3
William Wright	1
William] Gilpin	1
William] Sewel	1
Wm Bittles	1
Young Benjamin Sweet	1
Young Isaac Andrews	1
Zachariah Faris	2
Zachariah Ferris	2
Zacharias Dicks	5
Zachary Jess	1
Zechariahs Ferris	1
Zef Brown	1
Zilla Haines	1
Zilpha Shin	1
Zimri Gaunt	1
